"scientific_name","timePeriod","n_grids"
"Aethopyga nipalensis","2016",51
"Aethopyga nipalensis","2017",47
"Aethopyga nipalensis","2018",62
"Aethopyga nipalensis","2019",61
"Aethopyga nipalensis","2020",41
"Aethopyga nipalensis","2021",66
"Aethopyga nipalensis","2022",57
"Aethopyga nipalensis","pre2000",18
"Aethopyga saturata","2000-2006",11
"Aethopyga saturata","2007-2010",15
"Aethopyga saturata","2011-2012",11
"Aethopyga saturata","2013",15
"Aethopyga saturata","2014",21
"Aethopyga saturata","2015",36
"Aethopyga saturata","2016",37
"Aethopyga saturata","2017",36
"Aethopyga saturata","2018",44
"Aethopyga saturata","2019",53
"Aethopyga saturata","2020",36
"Aethopyga saturata","2021",63
"Aethopyga saturata","2022",68
"Aethopyga saturata","pre2000",17
"Aethopyga siparaja","2000-2006",20
"Aethopyga siparaja","2007-2010",34
"Aethopyga siparaja","2011-2012",28
"Aethopyga siparaja","2013",22
"Aethopyga siparaja","2014",48
"Aethopyga siparaja","2015",65
"Aethopyga siparaja","2016",72
"Aethopyga siparaja","2017",106
"Aethopyga siparaja","2018",131
"Aethopyga siparaja","2019",135
"Aethopyga siparaja","2020",123
"Aethopyga siparaja","2021",195
"Aethopyga siparaja","2022",171
"Aethopyga siparaja","pre2000",26
"Aethopyga vigorsii","2000-2006",5
"Aethopyga vigorsii","2007-2010",8
"Aethopyga vigorsii","2011-2012",12
"Aethopyga vigorsii","2013",6
"Aethopyga vigorsii","2014",25
"Aethopyga vigorsii","2015",30
"Aethopyga vigorsii","2016",44
"Aethopyga vigorsii","2017",50
"Aethopyga vigorsii","2018",52
"Aethopyga vigorsii","2019",62
"Aethopyga vigorsii","2020",61
"Aethopyga vigorsii","2021",72
"Aethopyga vigorsii","2022",58
"Aethopyga vigorsii","pre2000",8
"Agraphospiza rubescens","2007-2010",2
"Agraphospiza rubescens","2013",1
"Agraphospiza rubescens","2014",3
"Agraphospiza rubescens","2017",3
"Agraphospiza rubescens","2018",1
"Agraphospiza rubescens","2019",1
"Agraphospiza rubescens","2021",1
"Agraphospiza rubescens","2022",3
"Agraphospiza rubescens","pre2000",1
"Agropsar sturninus","2015",2
"Agropsar sturninus","2016",1
"Agropsar sturninus","2017",3
"Agropsar sturninus","2018",5
"Agropsar sturninus","2019",3
"Agropsar sturninus","2020",4
"Agropsar sturninus","2021",3
"Agropsar sturninus","2022",2
"Aix galericulata","2013",1
"Aix galericulata","2019",1
"Aix galericulata","2020",1
"Aix galericulata","2021",2
"Aix galericulata","2022",2
"Aix galericulata","pre2000",3
"Alaemon alaudipes","2000-2006",1
"Alaemon alaudipes","2007-2010",6
"Alaemon alaudipes","2011-2012",4
"Alaemon alaudipes","2013",3
"Alaemon alaudipes","2014",1
"Alaemon alaudipes","2015",2
"Alaemon alaudipes","2016",4
"Alaemon alaudipes","2017",8
"Alaemon alaudipes","2018",8
"Alaemon alaudipes","2019",7
"Alaemon alaudipes","2020",7
"Alaemon alaudipes","2021",4
"Alaemon alaudipes","2022",7
"Alaemon alaudipes","pre2000",8
"Alauda arvensis","2000-2006",1
"Alauda arvensis","2011-2012",2
"Alauda arvensis","2013",1
"Alauda arvensis","2014",1
"Alauda arvensis","2016",3
"Alauda arvensis","2017",4
