"scientific_name","n_grids"
"Mirafra assamica",393
"Mirafra cantillans",106
"Mirafra erythroptera",1065
"Mixornis gularis",234
"Montecincla cachinnans",11
"Montecincla fairbanki",20
"Montecincla jerdoni",4
"Montecincla meridionalis",4
"Monticola cinclorhyncha",592
"Monticola rufiventris",248
"Monticola solitarius",1338
"Motacilla alba",2651
"Motacilla cinerea",2380
"Motacilla citreola",1562
"Motacilla flava",1870
"Motacilla maderaspatensis",2514
"Mulleripicus pulverulentus",49
"Muscicapa dauurica",952
"Muscicapa muttui",415
"Muscicapa sibirica",264
"Mycerobas icterioides",93
"Mycerobas melanozanthos",80
"Mycteria leucocephala",1911
"Myiomela leucura",103
"Myophonus caeruleus",534
"Myophonus horsfieldii",302
"Myzornis pyrrhoura",36
"Napothera malacoptila",14
"Neophron percnopterus",1095
"Netta rufina",868
"Nettapus coromandelianus",1359
"Niltava grandis",113
"Niltava macgrigoriae",244
"Niltava sundara",226
"Nisaetus cirrhatus",765
"Nisaetus kelaarti",75
"Nisaetus nipalensis",191
"Nucifraga caryocatactes",92
"Nucifraga multipunctata",35
"Numenius arquata",585
"Numenius phaeopus",324
"Nycticorax nycticorax",1730
"Nyctyornis athertoni",462
"Ocyceros birostris",1986
"Ocyceros griseus",213
"Oenanthe deserti",605
"Oenanthe fusca",1244
"Oenanthe isabellina",422
"Oenanthe picata",462
"Ophrysia superciliosa",2
"Oriolus chinensis",582
"Oriolus kundoo",2334
"Oriolus tenuirostris",28
"Oriolus traillii",249
"Oriolus xanthornus",1555
"Orthotomus atrogularis",81
"Orthotomus sutorius",3164
"Pandion haliaetus",1131
"Paradoxornis flavirostris",22
"Parus cinereus",1756
"Parus monticolus",268
"Passer cinnamomeus",298
"Passer domesticus",3745
"Passer montanus",280
"Passer pyrrhonotus",103
"Pastor roseus",1876
"Pavo cristatus",2533
"Pelargopsis capensis",756
"Pelecanus crispus",223
"Pelecanus onocrotalus",335
"Pelecanus philippensis",361
"Pellorneum palustre",13
"Pellorneum ruficeps",804
"Perdicula argoondah",415
"Perdicula asiatica",889
"Perdicula erythrorhyncha",65
"Perdicula manipurensis",1
"Pericrocotus brevirostris",120
"Pericrocotus cinnamomeus",1956
"Pericrocotus erythropygius",251
"Pericrocotus ethologus",423
"Pericrocotus flammeus",320
"Pericrocotus roseus",137
"Pericrocotus solaris",83
"Pericrocotus speciosus",532
"Periparus ater",183
"Periparus rubidiventris",73
"Periparus rufonuchalis",106
"Pernis ptilorhynchus",2260
"Petrochelidon fluvicola",1358
"Phaenicophaeus tristis",275
"Phaenicophaeus viridirostris",665
"Phalacrocorax carbo",2031
"Phalacrocorax fuscicollis",2060
"Phoeniconaias minor",177
"Phoenicopterus roseus",613
"Phoenicurus auroreus",108
"Phoenicurus coeruleocephala",169
"Phoenicurus erythrogastrus",107
"Phoenicurus frontalis",254
"Phoenicurus fuliginosus",397
"Phoenicurus hodgsoni",101
"Phoenicurus leucocephalus",476
"Phoenicurus ochruros",1980
"Phyllergates cucullatus",107
"Phylloscopus affinis",686
"Phylloscopus cantator",108
"Phylloscopus castaniceps",110
"Phylloscopus chloronotus",296
"Phylloscopus collybita",1211
"Phylloscopus fuscatus",325
"Phylloscopus griseolus",807
"Phylloscopus humei",1017
"Phylloscopus inornatus",315
"Phylloscopus intermedius",77
"Phylloscopus maculipennis",168
"Phylloscopus magnirostris",353
"Phylloscopus occipitalis",481
"Phylloscopus poliogenys",98
"Phylloscopus pulcher",182
"Phylloscopus reguloides",267
"Phylloscopus subviridis",44
"Phylloscopus trochiloides",1981
"Phylloscopus tytleri",127
"Phylloscopus whistleri",257
"Phylloscopus xanthoschistos",342
"Picumnus innominatus",378
"Picus canus",307
"Picus chlorolophus",491
"Picus squamatus",174
"Picus xanthopygaeus",359
"Pitta brachyura",965
"Pitta sordida",74
"Platalea leucorodia",1225
"Plegadis falcinellus",1513
"Ploceus benghalensis",441
"Ploceus manyar",458
"Ploceus philippinus",2335
"Pluvialis fulva",513
"Pluvialis squatarola",206
"Pnoepyga albiventer",130
"Pnoepyga immaculata",38
"Pnoepyga pusilla",130
"Podiceps cristatus",446
"Pomatorhinus horsfieldii",393
"Pomatorhinus ruficollis",95
"Pomatorhinus schisticeps",194
"Pomatorhinus superciliaris",52
"Porphyrio poliocephalus",1775
"Prinia atrogularis",73
"Prinia buchanani",436
"Prinia cinereocapilla",7
"Prinia crinigera",203
"Prinia flaviventris",228
"Prinia hodgsonii",1726
"Prinia inornata",2797
"Prinia rufescens",114
"Prinia socialis",2753
"Prinia sylvatica",1188
"Procarduelis nipalensis",106
"Prunella atrogularis",119
"Prunella collaris",157
"Prunella fulvescens",78
"Prunella rubeculoides",105
"Prunella strophiata",195
"Psarisomus dalhousiae",143
"Pseudibis papillosa",2179
"Psilopogon asiaticus",590
"Psilopogon duvaucelii",131
"Psilopogon franklinii",104
"Psilopogon haemacephalus",2704
"Psilopogon lineatus",348
"Psilopogon malabaricus",158
"Psilopogon virens",387
"Psilopogon viridis",438
"Psilopogon zeylanicus",1185
"Psittacula alexandri",238
"Psittacula caniceps",5
"Psittacula columboides",207
"Psittacula cyanocephala",2000
"Psittacula eupatria",1534
"Psittacula himalayana",184
"Psittacula krameri",3537
"Psittacula longicauda",35
"Psittacula roseata",50
"Psittiparus ruficeps",12
"Pterocles exustus",596
"Pterocles indicus",249
"Pterorhinus albogularis",122
"Pterorhinus caerulatus",38
"Pterorhinus delesserti",59
"Pterorhinus galbanus",19
"Pterorhinus gularis",13
"Pterorhinus nuchalis",7
"Pterorhinus pectoralis",140
"Pterorhinus ruficollis",133
"Pteruthius aeralatus",75
"Pteruthius melanotis",70
"Pteruthius ripleyi",82
"Pteruthius rufiventer",45
