"scientific_name","timePeriod","n_grids"
"Actinodura cyanouroptera","2014",16
"Actinodura cyanouroptera","2015",26
"Actinodura cyanouroptera","2016",32
"Actinodura cyanouroptera","2017",38
"Actinodura cyanouroptera","2018",41
"Actinodura cyanouroptera","2019",42
"Actinodura cyanouroptera","2020",31
"Actinodura cyanouroptera","2021",51
"Actinodura cyanouroptera","2022",49
"Actinodura cyanouroptera","pre2000",9
"Actinodura egertoni","2000-2006",7
"Actinodura egertoni","2007-2010",14
"Actinodura egertoni","2011-2012",12
"Actinodura egertoni","2013",9
"Actinodura egertoni","2014",12
"Actinodura egertoni","2015",16
"Actinodura egertoni","2016",18
"Actinodura egertoni","2017",18
"Actinodura egertoni","2018",19
"Actinodura egertoni","2019",23
"Actinodura egertoni","2020",14
"Actinodura egertoni","2021",31
"Actinodura egertoni","2022",29
"Actinodura egertoni","pre2000",2
"Actinodura nipalensis","2000-2006",7
"Actinodura nipalensis","2007-2010",7
"Actinodura nipalensis","2011-2012",6
"Actinodura nipalensis","2013",5
"Actinodura nipalensis","2014",9
"Actinodura nipalensis","2015",8
"Actinodura nipalensis","2016",11
"Actinodura nipalensis","2017",10
"Actinodura nipalensis","2018",12
"Actinodura nipalensis","2019",13
"Actinodura nipalensis","2020",6
"Actinodura nipalensis","2021",15
"Actinodura nipalensis","2022",11
"Actinodura nipalensis","pre2000",5
"Actinodura strigula","2000-2006",17
"Actinodura strigula","2007-2010",22
"Actinodura strigula","2011-2012",18
"Actinodura strigula","2013",12
"Actinodura strigula","2014",24
"Actinodura strigula","2015",26
"Actinodura strigula","2016",35
"Actinodura strigula","2017",32
"Actinodura strigula","2018",38
"Actinodura strigula","2019",40
"Actinodura strigula","2020",26
"Actinodura strigula","2021",48
"Actinodura strigula","2022",46
"Actinodura strigula","pre2000",15
"Actinodura waldeni","2000-2006",2
"Actinodura waldeni","2007-2010",6
"Actinodura waldeni","2011-2012",4
"Actinodura waldeni","2013",3
"Actinodura waldeni","2014",5
"Actinodura waldeni","2015",6
"Actinodura waldeni","2016",6
"Actinodura waldeni","2017",5
"Actinodura waldeni","2018",6
"Actinodura waldeni","2019",7
"Actinodura waldeni","2020",3
"Actinodura waldeni","2021",6
"Actinodura waldeni","2022",7
"Actitis hypoleucos","2000-2006",180
"Actitis hypoleucos","2007-2010",210
"Actitis hypoleucos","2011-2012",205
"Actitis hypoleucos","2013",215
"Actitis hypoleucos","2014",296
"Actitis hypoleucos","2015",422
"Actitis hypoleucos","2016",529
"Actitis hypoleucos","2017",599
"Actitis hypoleucos","2018",617
"Actitis hypoleucos","2019",709
"Actitis hypoleucos","2020",768
"Actitis hypoleucos","2021",844
"Actitis hypoleucos","2022",718
"Actitis hypoleucos","pre2000",190
"Aegithalos concinnus","2000-2006",29
"Aegithalos concinnus","2007-2010",35
"Aegithalos concinnus","2011-2012",34
"Aegithalos concinnus","2013",26
"Aegithalos concinnus","2014",32
"Aegithalos concinnus","2015",45
"Aegithalos concinnus","2016",55
"Aegithalos concinnus","2017",64
"Aegithalos concinnus","2018",67
"Aegithalos concinnus","2019",72
"Aegithalos concinnus","2020",61
"Aegithalos concinnus","2021",78
"Aegithalos concinnus","2022",83
"Aegithalos concinnus","pre2000",22
"Aegithalos iouschistos","2000-2006",5
"Aegithalos iouschistos","2007-2010",6
"Aegithalos iouschistos","2011-2012",4
"Aegithalos iouschistos","2013",3
"Aegithalos iouschistos","2014",5
"Aegithalos iouschistos","2015",7
"Aegithalos iouschistos","2016",7
"Aegithalos iouschistos","2017",9
"Aegithalos iouschistos","2018",7
"Aegithalos iouschistos","2019",15
"Aegithalos iouschistos","2020",5
"Aegithalos iouschistos","2021",9
"Aegithalos iouschistos","2022",13
"Aegithalos iouschistos","pre2000",1
"Aegithalos leucogenys","pre2000",1
"Aegithalos niveogularis","2000-2006",1
"Aegithalos niveogularis","2007-2010",2
"Aegithalos niveogularis","2011-2012",3
"Aegithalos niveogularis","2013",1
"Aegithalos niveogularis","2014",1
"Aegithalos niveogularis","2015",5
"Aegithalos niveogularis","2016",3
"Aegithalos niveogularis","2017",5
"Aegithalos niveogularis","2018",3
"Aegithalos niveogularis","2019",9
"Aegithalos niveogularis","2020",2
"Aegithalos niveogularis","2021",4
"Aegithalos niveogularis","2022",10
"Aegithalos niveogularis","pre2000",1
"Aegithina nigrolutea","2000-2006",12
"Aegithina nigrolutea","2007-2010",22
"Aegithina nigrolutea","2011-2012",12
"Aegithina nigrolutea","2013",15
"Aegithina nigrolutea","2014",10
"Aegithina nigrolutea","2015",15
"Aegithina nigrolutea","2016",20
"Aegithina nigrolutea","2017",22
"Aegithina nigrolutea","2018",31
"Aegithina nigrolutea","2019",35
"Aegithina nigrolutea","2020",36
"Aegithina nigrolutea","2021",47
"Aegithina nigrolutea","2022",47
"Aegithina nigrolutea","pre2000",9
"Aegithina tiphia","2000-2006",149
"Aegithina tiphia","2007-2010",174
"Aegithina tiphia","2011-2012",178
"Aegithina tiphia","2013",141
"Aegithina tiphia","2014",281
"Aegithina tiphia","2015",366
"Aegithina tiphia","2016",451
"Aegithina tiphia","2017",511
"Aegithina tiphia","2018",533
"Aegithina tiphia","2019",612
"Aegithina tiphia","2020",630
"Aegithina tiphia","2021",758
"Aegithina tiphia","2022",717
"Aegithina tiphia","pre2000",142
"Aegolius funereus","pre2000",1
"Aegypius monachus","2000-2006",14
"Aegypius monachus","2007-2010",18
"Aegypius monachus","2011-2012",17
"Aegypius monachus","2013",13
"Aegypius monachus","2014",16
"Aegypius monachus","2015",20
"Aegypius monachus","2016",29
"Aegypius monachus","2017",34
"Aegypius monachus","2018",35
"Aegypius monachus","2019",39
"Aegypius monachus","2020",35
"Aegypius monachus","2021",40
"Aegypius monachus","2022",34
"Aegypius monachus","pre2000",15
"Aerodramus brevirostris","2000-2006",28
"Aerodramus brevirostris","2007-2010",29
"Aerodramus brevirostris","2011-2012",24
"Aerodramus brevirostris","2013",19
"Aerodramus brevirostris","2014",21
"Aerodramus brevirostris","2015",36
"Aerodramus brevirostris","2016",37
"Aerodramus brevirostris","2017",41
"Aerodramus brevirostris","2018",50
"Aerodramus brevirostris","2019",56
"Aerodramus brevirostris","2020",41
"Aerodramus brevirostris","2021",61
"Aerodramus brevirostris","2022",58
"Aerodramus brevirostris","pre2000",24
"Aerodramus fuciphagus","2000-2006",2
"Aerodramus fuciphagus","2007-2010",3
"Aerodramus fuciphagus","2011-2012",5
"Aerodramus fuciphagus","2013",3
"Aerodramus fuciphagus","2014",7
"Aerodramus fuciphagus","2015",4
"Aerodramus fuciphagus","2016",7
"Aerodramus fuciphagus","2017",7
"Aerodramus fuciphagus","2018",14
"Aerodramus fuciphagus","2019",12
"Aerodramus fuciphagus","2020",6
"Aerodramus fuciphagus","2021",12
"Aerodramus fuciphagus","2022",8
"Aerodramus fuciphagus","pre2000",4
"Aerodramus unicolor","2000-2006",41
"Aerodramus unicolor","2007-2010",49
"Aerodramus unicolor","2011-2012",40
"Aerodramus unicolor","2013",23
"Aerodramus unicolor","2014",40
"Aerodramus unicolor","2015",58
"Aerodramus unicolor","2016",68
"Aerodramus unicolor","2017",74
"Aerodramus unicolor","2018",82
"Aerodramus unicolor","2019",89
"Aerodramus unicolor","2020",79
"Aerodramus unicolor","2021",97
"Aerodramus unicolor","2022",82
"Aerodramus unicolor","pre2000",28
"Aethopyga gouldiae","2000-2006",14
"Aethopyga gouldiae","2007-2010",11
"Aethopyga gouldiae","2011-2012",13
"Aethopyga gouldiae","2013",8
"Aethopyga gouldiae","2014",11
"Aethopyga gouldiae","2015",17
"Aethopyga gouldiae","2016",26
"Aethopyga gouldiae","2017",23
"Aethopyga gouldiae","2018",19
"Aethopyga gouldiae","2019",25
"Aethopyga gouldiae","2020",9
"Aethopyga gouldiae","2021",29
"Aethopyga gouldiae","2022",41
"Aethopyga gouldiae","pre2000",8
"Aethopyga ignicauda","2000-2006",10
"Aethopyga ignicauda","2007-2010",20
"Aethopyga ignicauda","2011-2012",14
"Aethopyga ignicauda","2013",9
"Aethopyga ignicauda","2014",10
"Aethopyga ignicauda","2015",16
"Aethopyga ignicauda","2016",18
"Aethopyga ignicauda","2017",27
"Aethopyga ignicauda","2018",26
"Aethopyga ignicauda","2019",34
"Aethopyga ignicauda","2020",18
"Aethopyga ignicauda","2021",29
"Aethopyga ignicauda","2022",34
"Aethopyga ignicauda","pre2000",7
"Aethopyga nipalensis","2000-2006",17
"Aethopyga nipalensis","2007-2010",20
"Aethopyga nipalensis","2011-2012",25
"Aethopyga nipalensis","2013",21
"Aethopyga nipalensis","2014",26
"Aethopyga nipalensis","2015",34
"Aethopyga nipalensis","2016",36
"Aethopyga nipalensis","2017",38
"Aethopyga nipalensis","2018",49
"Aethopyga nipalensis","2019",41
"Aethopyga nipalensis","2020",33
"Aethopyga nipalensis","2021",52
"Aethopyga nipalensis","2022",46
"Aethopyga nipalensis","pre2000",11
"Aethopyga saturata","2000-2006",21
"Aethopyga saturata","2007-2010",17
"Aethopyga saturata","2011-2012",17
"Aethopyga saturata","2013",13
"Aethopyga saturata","2014",14
"Aethopyga saturata","2015",25
"Aethopyga saturata","2016",27
"Aethopyga saturata","2017",37
"Aethopyga saturata","2018",35
"Aethopyga saturata","2019",40
"Aethopyga saturata","2020",29
"Aethopyga saturata","2021",54
"Aethopyga saturata","2022",47
"Aethopyga saturata","pre2000",12
"Aethopyga siparaja","2000-2006",35
"Aethopyga siparaja","2007-2010",35
"Aethopyga siparaja","2011-2012",32
"Aethopyga siparaja","2013",30
"Aethopyga siparaja","2014",46
"Aethopyga siparaja","2015",46
"Aethopyga siparaja","2016",71
"Aethopyga siparaja","2017",82
"Aethopyga siparaja","2018",89
"Aethopyga siparaja","2019",89
"Aethopyga siparaja","2020",89
"Aethopyga siparaja","2021",116
"Aethopyga siparaja","2022",110
"Aethopyga siparaja","pre2000",25
"Aethopyga vigorsii","2000-2006",6
"Aethopyga vigorsii","2007-2010",16
"Aethopyga vigorsii","2011-2012",19
"Aethopyga vigorsii","2013",15
"Aethopyga vigorsii","2014",24
"Aethopyga vigorsii","2015",24
"Aethopyga vigorsii","2016",33
"Aethopyga vigorsii","2017",38
"Aethopyga vigorsii","2018",38
"Aethopyga vigorsii","2019",42
"Aethopyga vigorsii","2020",43
"Aethopyga vigorsii","2021",48
"Aethopyga vigorsii","2022",44
"Aethopyga vigorsii","pre2000",5
"Agraphospiza rubescens","2007-2010",1
"Agraphospiza rubescens","2011-2012",1
"Agraphospiza rubescens","2013",1
"Agraphospiza rubescens","2014",1
"Agraphospiza rubescens","2015",1
"Agraphospiza rubescens","2017",2
"Agraphospiza rubescens","2018",2
"Agraphospiza rubescens","2019",3
"Agraphospiza rubescens","2020",1
"Agraphospiza rubescens","2021",1
"Agraphospiza rubescens","2022",3
"Agropsar philippensis","2000-2006",1
"Agropsar philippensis","2018",1
"Agropsar sturninus","2007-2010",1
"Agropsar sturninus","2011-2012",1
"Agropsar sturninus","2014",1
"Agropsar sturninus","2015",1
"Agropsar sturninus","2016",2
"Agropsar sturninus","2017",3
"Agropsar sturninus","2018",5
"Agropsar sturninus","2019",6
"Agropsar sturninus","2020",5
"Agropsar sturninus","2021",4
"Agropsar sturninus","2022",4
"Aix galericulata","2018",2
"Aix galericulata","2019",2
"Aix galericulata","2021",2
"Aix galericulata","2022",1
"Aix galericulata","pre2000",1
"Alaemon alaudipes","2000-2006",5
"Alaemon alaudipes","2007-2010",8
"Alaemon alaudipes","2011-2012",7
"Alaemon alaudipes","2013",5
"Alaemon alaudipes","2014",4
"Alaemon alaudipes","2015",6
"Alaemon alaudipes","2016",10
"Alaemon alaudipes","2017",11
"Alaemon alaudipes","2018",12
"Alaemon alaudipes","2019",10
"Alaemon alaudipes","2020",9
"Alaemon alaudipes","2021",11
"Alaemon alaudipes","2022",8
"Alaemon alaudipes","pre2000",3
"Alauda arvensis","2000-2006",6
"Alauda arvensis","2007-2010",2
"Alauda arvensis","2011-2012",4
"Alauda arvensis","2013",1
"Alauda arvensis","2015",2
"Alauda arvensis","2016",4
"Alauda arvensis","2017",2
"Alauda arvensis","2018",5
"Alauda arvensis","2019",6
"Alauda arvensis","2020",7
"Alauda arvensis","2021",10
"Alauda arvensis","2022",14
"Alauda arvensis","pre2000",4
"Alauda gulgula","2000-2006",61
"Alauda gulgula","2007-2010",54
"Alauda gulgula","2011-2012",60
"Alauda gulgula","2013",56
"Alauda gulgula","2014",108
"Alauda gulgula","2015",124
"Alauda gulgula","2016",176
"Alauda gulgula","2017",188
"Alauda gulgula","2018",202
"Alauda gulgula","2019",240
"Alauda gulgula","2020",263
