"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Grey-headed Parakeet","Psittacula finschii","","","None","","","Diurnal","Diurnal",""
"Plum-headed Parakeet","Psittacula cyanocephala","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Blossom-headed Parakeet","Psittacula roseata","","X","None","","","Diurnal","Diurnal","X"
"Malabar Parakeet","Psittacula columboides","X","X","Western Ghats","","","Diurnal","Diurnal","X"
"Lord Derby's Parakeet","Psittacula derbiana","","","None","","X","Diurnal","Diurnal",""
"Red-breasted Parakeet","Psittacula alexandri","X","X","None","","","Diurnal","Diurnal","X"
"Nicobar Parakeet","Psittacula caniceps","","","Nicobar Islands","","","Diurnal","Diurnal","X"
"Long-tailed Parakeet","Psittacula longicauda","X","X","Andaman and Nicobar Islands","","","Diurnal","Diurnal","X"
"Vernal Hanging Parrot","Loriculus vernalis","X","X","None","","","Diurnal","Diurnal","X"
"Long-tailed Broadbill","Psarisomus dalhousiae","X","X","None","X","","Diurnal","Diurnal","X"
"Silver-breasted Broadbill","Serilophus lunatus","","X","None","","","Diurnal","Diurnal","X"
"Blue-naped Pitta","Hydrornis nipalensis","","X","None","X","","Diurnal","Diurnal","X"
"Blue Pitta","Hydrornis cyaneus","","","None","","X","Diurnal","Diurnal",""
"Indian Pitta","Pitta brachyura","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Blue-winged Pitta","Pitta moluccensis","","","None","","X","Diurnal","Diurnal",""
"Hooded Pitta","Pitta sordida","","X","None","","","Diurnal","Diurnal","X"
"Mangrove Pitta","Pitta megarhyncha","","","None","","X","Diurnal","Diurnal",""
"White-bellied Minivet","Pericrocotus erythropygius","","X","Mainland India","","","Diurnal","Diurnal","X"
"Small Minivet","Pericrocotus cinnamomeus","X","X","None","","","Diurnal","Diurnal","X"
"Grey-chinned Minivet","Pericrocotus solaris","","X","None","","","Diurnal","Diurnal","X"
"Short-billed Minivet","Pericrocotus brevirostris","X","X","None","","","Diurnal","Diurnal","X"
"Long-tailed Minivet","Pericrocotus ethologus","X","X","None","","","Diurnal","Diurnal","X"
"Orange Minivet","Pericrocotus flammeus","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Scarlet Minivet","Pericrocotus speciosus","X","X","None","","","Diurnal","Diurnal","X"
"Ashy Minivet","Pericrocotus divaricatus","","","None","","","Diurnal","Diurnal",""
"Swinhoe's Minivet","Pericrocotus cantonensis","","","None","","","Diurnal","Diurnal",""
"Rosy Minivet","Pericrocotus roseus","","X","None","","","Diurnal","Diurnal","X"
"Large Cuckooshrike","Coracina macei","X","X","None","","","Diurnal","Diurnal","X"
"Andaman Cuckooshrike","Coracina dobsoni","","X","Andaman Islands","","","Diurnal","Diurnal","X"
"Pied Triller","Lalage nigra","","","None","","","Diurnal","Diurnal",""
"Black-winged Cuckooshrike","Lalage melaschistos","X","X","None","","","Diurnal","Diurnal","X"
"Black-headed Cuckooshrike","Lalage melanoptera","X","X","Indian Subcontinent","","","Diurnal","Diurnal","X"
"Black-headed Shrike-babbler","Pteruthius rufiventer","","","Eastern Himalayas","","","Diurnal","Diurnal","X"
"Himalayan Shrike-babbler","Pteruthius ripleyi","","X","Himalayas","","","Diurnal","Diurnal","X"
"Blyth's Shrike-babbler","Pteruthius aeralatus","","X","None","","","Diurnal","Diurnal","X"
"Green Shrike-babbler","Pteruthius xanthochlorus","","X","None","","","Diurnal","Diurnal","X"
"Black-eared Shrike-babbler","Pteruthius melanotis","","X","None","","","Diurnal","Diurnal","X"
"Clicking Shrike-babbler","Pteruthius intermedius","","","None","","X","Diurnal","Diurnal",""
"White-bellied Erpornis","Erpornis zantholeuca","X","X","None","","","Diurnal","Diurnal","X"
"Mangrove Whistler","Pachycephala cinerea","","","None","","","Diurnal","Diurnal",""
"Eurasian Golden Oriole","Oriolus oriolus","","","None","","X","Diurnal","Diurnal",""
"Indian Golden Oriole","Oriolus kundoo","X","X","None","","","Diurnal","Diurnal","X"
"Black-naped Oriole","Oriolus chinensis","X","X","None","","","Diurnal","Diurnal","X"
"Slender-billed Oriole","Oriolus tenuirostris","","","None","X","","Diurnal","Diurnal","X"
"Black-hooded Oriole","Oriolus xanthornus","X","X","None","","","Diurnal","Diurnal","X"
