"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Endemic Region","Significant - Indian Context","Not Relevant - Indian Context","Breeding Activity Period","Non Breeding Activity Period","Selected - SOIB"
"Nicobar Sparrowhawk","Accipiter butleri","","","Nicobar Islands","","","Diurnal","Diurnal","X"
"Chinese Sparrowhawk","Accipiter soloensis","","","None","","","Diurnal","Diurnal",""
"Japanese Sparrowhawk","Accipiter gularis","","","None","","","Diurnal","Diurnal",""
"Besra","Accipiter virgatus","X","X","None","","","Diurnal","Diurnal","X"
"Eurasian Sparrowhawk","Accipiter nisus","X","X","None","","","Diurnal","Diurnal","X"
"Northern Goshawk","Accipiter gentilis","","","None","","","Diurnal","Diurnal",""
"Red Kite","Milvus milvus","","","None","","X","Diurnal","Diurnal",""
"Black Kite","Milvus migrans","X","X","None","","","Diurnal","Diurnal","X"
"Brahminy Kite","Haliastur indus","X","X","None","","","Diurnal","Diurnal","X"
"White-tailed Sea Eagle","Haliaeetus albicilla","","","None","","","Diurnal","Diurnal",""
"Pallas's Fish Eagle","Haliaeetus leucoryphus","X","X","None","X","","Diurnal","Diurnal","X"
"White-bellied Sea Eagle","Haliaeetus leucogaster","X","X","None","X","","Diurnal","Diurnal","X"
"Lesser Fish Eagle","Haliaeetus humilis","X","X","None","X","","Diurnal","Diurnal","X"
"Grey-headed Fish Eagle","Haliaeetus ichthyaetus","X","X","None","","","Diurnal","Diurnal","X"
"Rough-legged Buzzard","Buteo lagopus","","","None","","X","Diurnal","Diurnal",""
"Common Buzzard","Buteo buteo","X","X","None","","","Diurnal","Diurnal","X"
"Himalayan Buzzard","Buteo refectus","","","None","","","Diurnal","Diurnal",""
"Long-legged Buzzard","Buteo rufinus","X","X","None","","","Diurnal","Diurnal","X"
"Upland Buzzard","Buteo hemilasius","","X","None","","","Diurnal","Diurnal","X"
"Eastern Grass Owl","Tyto longimembris","","","None","","","Nocturnal","Nocturnal",""
"Common Barn Owl","Tyto alba","","","None","","","Nocturnal","Nocturnal",""
"Andaman Barn Owl","Tyto deroepstorffi","","","Andaman Islands","","","Nocturnal","Nocturnal",""
"Oriental Bay Owl","Phodilus badius","","","None","X","","Nocturnal","Nocturnal",""
"Sri Lanka Bay Owl","Phodilus assimilis","","","Western Ghats & Sri Lanka","","","Nocturnal","Nocturnal",""
"Andaman Scops Owl","Otus balli","","","Andaman Islands","","","Nocturnal","Nocturnal",""
"Mountain Scops Owl","Otus spilocephalus","","","None","","","Nocturnal","Nocturnal",""
"Indian Scops Owl","Otus bakkamoena","","","Indian Subcontinent","","","Nocturnal","Nocturnal",""
"Collared Scops Owl","Otus lettia","","","None","","","Nocturnal","Nocturnal",""
"Nicobar Scops Owl","Otus alius","","","Nicobar Islands","","","Nocturnal","Nocturnal",""
"Eurasian Scops Owl","Otus scops","","","None","","X","Nocturnal","Nocturnal",""
"Pallid Scops Owl","Otus brucei","","","None","","","Nocturnal","Nocturnal",""
"Oriental Scops Owl","Otus sunia","","","None","","","Nocturnal","Nocturnal",""
"Eurasian Eagle Owl","Bubo bubo","","","None","","","Nocturnal","Nocturnal",""
"Indian Eagle Owl","Bubo bengalensis","","","Indian Subcontinent","","","Nocturnal","Nocturnal",""
"Spot-bellied Eagle Owl","Bubo nipalensis","","","None","","","Nocturnal","Nocturnal",""
"Dusky Eagle Owl","Bubo coromandus","","X","None","","","24 hour","24 hour","X"
"Brown Fish Owl","Ketupa zeylonensis","X","X","None","","","24 hour","24 hour","X"
"Tawny Fish Owl","Ketupa flavipes","","","None","","","Nocturnal","Nocturnal",""
"Buffy Fish Owl","Ketupa ketupu","","","None","","X","Nocturnal","Nocturnal",""
"Asian Barred Owlet","Glaucidium cuculoides","X","X","None","","","Diurnal","Diurnal","X"
"Jungle Owlet","Glaucidium radiatum","X","X","Indian Subcontinent","","","24 hour","Diurnal","X"
"Collared Owlet","Taenioptynx brodiei","X","X","None","","","Diurnal","Diurnal","X"
"Spotted Owlet","Athene brama","","","None","","","Nocturnal","Nocturnal",""
"Little Owl","Athene noctua","","","None","","","24 hour","Diurnal",""
