eBird English Name 2021,eBird Scientific Name 2021,eBird Code,Order,Family,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,SOIB Concern Status,SOIB Long Term Status,SOIB Current Status,SOIB Range Status,Breeding Activity Period,Non Breeding Activity Period,Diet Guild,India Endemic,Subcontinent Endemic,Himalayas Endemic,Endemic Region,Habitat Specialization,Migratory Status Within India,Essential,Discard,India Checklist Common Name,India Checklist Scientific Name
Western Tragopan,Tragopan melanocephalus,westra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Vulnerable,Schedule-I,Appendix I,,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Temperate Forest,Resident & Altitudinal Migrant,1,,Western Tragopan,Tragopan melanocephalus
Satyr Tragopan,Tragopan satyra,sattra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Near Threatened,Schedule-I,,,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Indian Subcontinent,Temperate Forest,Resident & Altitudinal Migrant,,,Satyr Tragopan,Tragopan satyra
Blyth's Tragopan,Tragopan blythii,blytra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Vulnerable,Schedule-I,Appendix I,,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,Yes,Eastern Himalayas,Temperate Forest,Resident & Altitudinal Migrant,1,,Blyth's Tragopan,Tragopan blythii
Temminck's Tragopan,Tragopan temminckii,temtra1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,,,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Temminck's Tragopan,Tragopan temminckii
Himalayan Monal,Lophophorus impejanus,himmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-I,Appendix I,,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Temperate Forest,Resident & Altitudinal Migrant,1,,Himalayan Monal,Lophophorus impejanus
Sclater's Monal,Lophophorus sclateri,sclmon1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Vulnerable,Schedule-I,Appendix I,,High,Data Deficient,Data Deficient,Very Restricted,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Eastern Himalayas,Grassland,Resident & Altitudinal Migrant,1,,Sclater's Monal,Lophophorus sclateri
Koklass Pheasant,Pucrasia macrolopha,kokphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Omnivore,No,No,No,None,Temperate Forest,Resident & Altitudinal Migrant,,,Koklass Pheasant,Pucrasia macrolopha
Tibetan Partridge,Perdix hodgsoniae,tibpar1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Least Concern,Schedule-IV,,,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,None,None,Resident & Altitudinal Migrant,,,Tibetan Partridge,Perdix hodgsoniae
Hume's Pheasant,Syrmaticus humiae,humphe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Near Threatened,Schedule-I,Appendix I,,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,None,None,Resident,,1,Mrs Hume's Pheasant,Syrmaticus humiae
Cheer Pheasant,Catreus wallichii,chephe1,Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Vulnerable,Schedule-I,Appendix I,,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,Yes,Western Himalayas,Grassland and Scrub,Resident,1,,Cheer Pheasant,Catreus wallichii
